text,quality_grade
"Artificial intelligence is transforming modern industries by improving efficiency and accuracy.",A
"Machine learning enables systems to learn from data and improve performance over time.",A
"Natural language processing helps computers understand human language effectively.",A
"AI systems are widely used in healthcare, finance, and education sectors.",A
"Advanced algorithms allow machines to analyze complex data patterns.",A
"Data science combines statistics programming and domain knowledge.",A
"Artificial intelligence improves decision making in complex environments.",A
"Machine learning models require high quality data for accurate predictions.",A
"NLP techniques are essential for text analysis and sentiment detection.",A
"Automation using AI reduces human effort and increases productivity.",A
"Artificial intelligence is changing the world with innovative solutions.",A
"Machine learning plays an important role in modern applications.",A
"NLP improves communication between humans and machines.",A
"AI driven systems enhance efficiency in business processes.",A
"Machine learning algorithms optimize intelligent decision making.",A
"Natural language processing analyzes large volumes of text data.",A
"AI helps in predictive analysis and intelligent automation.",A
"Machine learning improves system accuracy through training.",A
"NLP enables sentiment and emotion detection in text.",A
"AI technologies support intelligent digital transformation.",A

"Artificial intelligence helps many industries work faster and better.",B
"Machine learning is useful for predicting outcomes based on data.",B
"NLP is used in chatbots and translation systems.",B
"AI applications are growing in different fields.",B
"Data analysis helps companies make better decisions.",B
"Machine learning algorithms analyze large datasets.",B
"NLP helps in understanding text and language.",B
"Artificial intelligence supports automation in industries.",B
"AI tools are helpful in solving problems.",B
"Machine learning helps computers improve their tasks.",B
"AI systems help reduce manual work.",B
"Machine learning is applied in many real world problems.",B
"NLP helps machines understand written text.",B
"AI applications improve productivity.",B
"Machine learning supports data driven decisions.",B
"NLP techniques help text classification.",B
"AI systems are becoming more common.",B
"Machine learning helps in recognizing patterns.",B
"NLP is helpful for language analysis.",B
"AI supports modern technology growth.",B

"Artificial intelligence is good and it help many things.",C
"Machine learning give result but sometimes it not accurate.",C
"NLP is useful but it has some problem in understanding.",C
"AI systems work good but need better data.",C
"Machine learning model give output based on data.",C
"Artificial intelligence help improve system performance.",C
"NLP technique help computer read text.",C
"AI make work easy but sometimes fail.",C
"Machine learning use data for prediction.",C
"Artificial intelligence is useful but not perfect.",C
"AI system depend on data quality.",C
"Machine learning model need more training.",C
"NLP tool not perfect in language.",C
"AI help work but error occur.",C
"Machine learning use algorithm for result.",C
"NLP system process text data.",C
"AI useful but have limitation.",C
"Machine learning give answer sometime wrong.",C
"NLP understand text but sometime wrong.",C
"AI improve task but have issue.",C

"AI good it help.",D
"Machine learning not work properly sometime.",D
"NLP bad understand.",D
"AI make error.",D
"Machine learning confuse.",D
"NLP not good.",D
"AI fail sometime.",D
"Machine learning wrong output.",D
"NLP weak result.",D
"AI not accurate.",D
"AI bad.",D
"Machine learning wrong.",D
"NLP confuse text.",D
"AI not work.",D
"Machine learning fail.",D
"NLP poor.",D
"AI error.",D
"Machine learning mistake.",D
"NLP fail.",D
"AI weak.",D

"Artificial intelligence helps many industries work faster and better.",B
"Machine learning is useful for predicting outcomes based on data.",B
"NLP is used in chatbots and translation systems.",B
"AI applications are growing in different fields.",B
"Data analysis helps companies make better decisions.",B
"Machine learning algorithms analyze large datasets.",B
"NLP helps in understanding text and language.",B
"Artificial intelligence supports automation in industries.",B
"AI tools are helpful in solving problems.",B
"Machine learning helps computers improve their tasks.",B
"AI systems help reduce manual work.",B
"Machine learning is applied in many real world problems.",B
"NLP helps machines understand written text.",B
"AI applications improve productivity.",B
"Machine learning supports data driven decisions.",B
"NLP techniques help text classification.",B
"AI systems are becoming more common.",B
"Machine learning helps in recognizing patterns.",B
"NLP is helpful for language analysis.",B
"AI supports modern technology growth.",B