word_count,sentence_count,avg_sentence_length,char_count,unique_words,lexical_diversity,avg_word_length,grammar_errors,spelling_errors,error_density,flesch_reading_ease,flesch_kincaid_grade,quality_grade
11,1,11.0,95,11,1.0,7.64,0,0,0.0,-35.06,20.88,A
13,1,13.0,86,13,1.0,5.62,0,0,0.0,43.96,10.36,A
9,1,9.0,82,8,0.89,8.11,0,0,0.0,-18.5,18.08,A
11,1,11.0,73,11,1.0,5.45,0,0,0.0,49.54,9.08,A
9,1,9.0,68,9,1.0,6.56,0,0,0.0,9.7,14.14,A
8,1,8.0,66,8,1.0,7.25,0,0,0.0,18.94,12.61,A
8,1,8.0,73,8,1.0,8.12,1,0,12.5,-33.93,19.98,A
10,1,10.0,75,10,1.0,6.5,0,0,0.0,10.56,14.27,A
10,1,10.0,71,10,1.0,6.1,0,1,10.0,27.49,11.91,A
9,1,9.0,68,9,1.0,6.56,0,0,0.0,-18.5,18.08,A
9,1,9.0,72,9,1.0,7.0,0,0,0.0,0.3,15.45,A
9,1,9.0,64,9,1.0,6.11,0,0,0.0,37.9,10.21,A
7,1,7.0,55,7,1.0,6.86,0,1,14.29,18.44,12.43,A
8,1,8.0,59,8,1.0,6.38,0,0,0.0,18.94,12.61,A
7,1,7.0,65,7,1.0,8.29,1,0,14.29,-41.98,20.85,A
9,1,9.0,64,9,1.0,6.11,0,0,0.0,19.1,12.83,A
8,1,8.0,59,8,1.0,6.38,0,0,0.0,-2.21,15.56,A
7,1,7.0,59,7,1.0,7.43,0,0,0.0,18.44,12.43,A
8,1,8.0,52,8,1.0,5.5,0,1,12.5,29.52,11.13,A
6,1,6.0,59,6,1.0,8.83,0,0,0.0,-53.05,22.15,A
9,1,9.0,69,9,1.0,6.67,0,0,0.0,9.7,14.14,B
10,1,10.0,65,10,1.0,5.5,0,0,0.0,52.87,8.37,B
8,1,8.0,48,8,1.0,5.0,0,2,25.0,71.82,5.23,B
7,1,7.0,48,7,1.0,5.86,0,0,0.0,42.62,9.05,B
7,1,7.0,52,7,1.0,6.43,0,0,0.0,6.36,14.11,B
6,1,6.0,51,6,1.0,7.5,0,1,16.67,17.45,12.32,B
7,1,7.0,45,7,1.0,5.43,0,1,14.29,66.79,5.68,B
6,1,6.0,58,6,1.0,8.67,0,0,0.0,-53.05,22.15,B
7,1,7.0,41,7,1.0,4.86,0,0,0.0,78.87,4.0,B
7,1,7.0,53,7,1.0,6.57,0,0,0.0,54.7,7.37,B
6,1,6.0,35,6,1.0,4.83,0,0,0.0,59.75,6.42,B
9,1,9.0,56,9,1.0,5.22,0,0,0.0,66.1,6.28,B
6,1,6.0,43,6,1.0,6.17,0,1,16.67,59.75,6.42,B
4,1,4.0,37,4,1.0,8.25,0,0,0.0,-51.02,21.37,B
6,1,6.0,48,6,1.0,7.0,0,0,0.0,17.45,12.32,B
5,1,5.0,40,5,1.0,7.0,0,1,20.0,32.56,9.96,B
6,1,6.0,36,6,1.0,5.0,0,0,0.0,59.75,6.42,B
6,1,6.0,47,6,1.0,6.83,0,0,0.0,31.55,10.35,B
6,1,6.0,37,6,1.0,5.17,0,1,16.67,45.65,8.38,B
5,1,5.0,37,5,1.0,6.4,0,0,0.0,32.56,9.96,B
9,1,9.0,56,9,1.0,5.22,1,0,11.11,47.3,8.9,C
9,1,9.0,59,9,1.0,5.56,1,0,11.11,56.7,7.59,C
10,1,10.0,55,10,1.0,4.5,1,1,20.0,69.79,6.01,C
8,1,8.0,42,8,1.0,4.25,0,0,0.0,82.39,3.76,C
8,1,8.0,49,8,1.0,5.12,0,0,0.0,61.24,6.71,C
6,1,6.0,56,6,1.0,8.33,0,0,0.0,-24.85,18.22,C
6,1,6.0,38,6,1.0,5.33,0,1,16.67,73.85,4.45,C
7,1,7.0,37,7,1.0,4.29,0,0,0.0,90.96,2.31,C
6,1,6.0,41,6,1.0,5.83,0,0,0.0,45.65,8.38,C
7,1,7.0,50,7,1.0,6.14,0,0,0.0,18.44,12.43,C
6,1,6.0,33,6,1.0,4.5,0,0,0.0,45.65,8.38,C
6,1,6.0,42,6,1.0,6.0,0,0,0.0,59.75,6.42,C
6,1,6.0,33,6,1.0,4.5,0,1,16.67,87.95,2.48,C
6,1,6.0,29,6,1.0,3.83,0,0,0.0,87.95,2.48,C
6,1,6.0,42,6,1.0,6.0,0,0,0.0,31.55,10.35,C
5,1,5.0,29,5,1.0,4.8,0,1,20.0,66.4,5.24,C
5,1,5.0,30,5,1.0,5.0,0,0,0.0,49.48,7.6,C
6,1,6.0,44,6,1.0,6.33,0,0,0.0,59.75,6.42,C
6,1,6.0,39,6,1.0,5.5,0,1,16.67,73.85,4.45,C
6,1,6.0,31,6,1.0,4.17,0,0,0.0,87.95,2.48,C
4,1,4.0,16,4,1.0,3.0,1,0,25.0,118.18,-2.23,D
6,1,6.0,44,6,1.0,6.33,0,0,0.0,45.65,8.38,D
3,1,3.0,19,3,1.0,5.33,0,1,33.33,62.79,5.25,D
3,1,3.0,14,3,1.0,3.67,0,0,0.0,90.99,1.31,D
3,1,3.0,25,3,1.0,7.33,0,0,0.0,34.59,9.18,D
3,1,3.0,13,3,1.0,3.33,0,1,33.33,119.19,-2.62,D
3,1,3.0,17,3,1.0,4.67,0,0,0.0,90.99,1.31,D
4,1,4.0,30,4,1.0,6.5,0,0,0.0,54.73,6.62,D
3,1,3.0,16,3,1.0,4.33,0,1,33.33,90.99,1.31,D
3,1,3.0,16,3,1.0,4.33,0,0,0.0,62.79,5.25,D
2,1,2.0,7,2,1.0,2.5,0,0,0.0,120.21,-3.01,D
3,1,3.0,23,3,1.0,6.67,0,0,0.0,62.79,5.25,D
3,1,3.0,17,3,1.0,4.67,0,1,33.33,90.99,1.31,D
3,1,3.0,12,3,1.0,3.0,0,0,0.0,119.19,-2.62,D
3,1,3.0,22,3,1.0,6.33,0,0,0.0,62.79,5.25,D
2,1,2.0,9,2,1.0,3.5,0,1,50.0,120.21,-3.01,D
2,1,2.0,9,2,1.0,3.5,0,0,0.0,77.91,2.89,D
3,1,3.0,25,3,1.0,7.33,0,0,0.0,34.59,9.18,D
2,1,2.0,9,2,1.0,3.5,0,1,50.0,120.21,-3.01,D
2,1,2.0,8,2,1.0,3.0,0,0,0.0,120.21,-3.01,D
9,1,9.0,69,9,1.0,6.67,0,0,0.0,9.7,14.14,B
10,1,10.0,65,10,1.0,5.5,0,0,0.0,52.87,8.37,B
8,1,8.0,48,8,1.0,5.0,0,2,25.0,71.82,5.23,B
7,1,7.0,48,7,1.0,5.86,0,0,0.0,42.62,9.05,B
7,1,7.0,52,7,1.0,6.43,0,0,0.0,6.36,14.11,B
6,1,6.0,51,6,1.0,7.5,0,1,16.67,17.45,12.32,B
7,1,7.0,45,7,1.0,5.43,0,1,14.29,66.79,5.68,B
6,1,6.0,58,6,1.0,8.67,0,0,0.0,-53.05,22.15,B
7,1,7.0,41,7,1.0,4.86,0,0,0.0,78.87,4.0,B
7,1,7.0,53,7,1.0,6.57,0,0,0.0,54.7,7.37,B
6,1,6.0,35,6,1.0,4.83,0,0,0.0,59.75,6.42,B
9,1,9.0,56,9,1.0,5.22,0,0,0.0,66.1,6.28,B
6,1,6.0,43,6,1.0,6.17,0,1,16.67,59.75,6.42,B
4,1,4.0,37,4,1.0,8.25,0,0,0.0,-51.02,21.37,B
6,1,6.0,48,6,1.0,7.0,0,0,0.0,17.45,12.32,B
5,1,5.0,40,5,1.0,7.0,0,1,20.0,32.56,9.96,B
6,1,6.0,36,6,1.0,5.0,0,0,0.0,59.75,6.42,B
6,1,6.0,47,6,1.0,6.83,0,0,0.0,31.55,10.35,B
6,1,6.0,37,6,1.0,5.17,0,1,16.67,45.65,8.38,B
5,1,5.0,37,5,1.0,6.4,0,0,0.0,32.56,9.96,B
